Timestamp,Category,Viewers,Tags,Image_URL
2025-02-24 11:58:10,IRL,14300,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509672-285x380.jpg
2025-02-24 11:58:10,Street Fighter 6,14100,"Fighting, Arcade, Action",https://static-cdn.jtvnw.net/ttv-boxart/55453844_IGDB-285x380.jpg
2025-02-24 11:58:10,PUBG: BATTLEGROUNDS,13100,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/493057-285x380.jpg
2025-02-24 11:58:10,Dead by Daylight,10900,"Strategy, Action, Horror",https://static-cdn.jtvnw.net/ttv-boxart/491487-285x380.jpg
2025-02-24 11:58:10,Mining Mechs,10800,"Platformer, Puzzle",https://static-cdn.jtvnw.net/ttv-boxart/45326926_IGDB-285x380.jpg
2025-02-24 11:58:11,Like a Dragon: Pirate Yakuza in Hawaii,10800,"RPG, Action",https://static-cdn.jtvnw.net/ttv-boxart/1993079020_IGDB-285x380.jpg
2025-02-24 11:58:11,ELDEN RING,10500,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/512953_IGDB-285x380.jpg
2025-02-24 11:58:11,Delta Force,10500,"FPS, Shooter, MMO",https://static-cdn.jtvnw.net/ttv-boxart/1282866981_IGDB-285x380.jpg
2025-02-24 11:58:11,Getting Over It with Bennett Foddy,9900,"Platformer, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/499463_IGDB-285x380.jpg
2025-02-24 12:00:24,Just Chatting,225000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509658-285x380.jpg
2025-02-24 12:00:24,VALORANT,170000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/516575-285x380.jpg
2025-02-24 12:00:24,Dota 2,135000,"Strategy, MOBA, Action",https://static-cdn.jtvnw.net/ttv-boxart/29595-285x380.jpg
2025-02-24 12:00:24,League of Legends,100000,"RPG, Strategy, MOBA",https://static-cdn.jtvnw.net/ttv-boxart/21779-285x380.jpg
2025-02-24 12:00:24,Overwatch 2,71100,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/515025-285x380.jpg
2025-02-24 12:00:25,Teamfight Tactics,61700,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/513143-285x380.jpg
2025-02-24 12:00:25,Counter-Strike,53800,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/32399-285x380.jpg
2025-02-24 12:00:25,Grand Theft Auto V,44500,"FPS, Shooter",https://static-cdn.jtvnw.net/ttv-boxart/32982_IGDB-285x380.jpg
2025-02-24 12:00:25,I'm Only Sleeping,42500,Point and Click,https://static-cdn.jtvnw.net/ttv-boxart/498592_IGDB-285x380.jpg
2025-02-24 12:00:25,World of Warcraft,30700,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/18122-285x380.jpg
2025-02-24 12:00:25,Fortnite,30000,"Shooter, RPG, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/33214-285x380.jpg
2025-02-24 12:00:25,Marvel Rivals,28300,"Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/1264310518_IGDB-285x380.jpg
2025-02-24 12:00:25,Apex Legends,27000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/511224-285x380.jpg
2025-02-24 12:00:26,Call of Duty: Warzone,20800,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/512710-285x380.jpg
2025-02-24 12:00:26,Escape from Tarkov,20600,"FPS, Shooter, RPG",https://static-cdn.jtvnw.net/ttv-boxart/491931_IGDB-285x380.jpg
2025-02-24 12:00:26,Path of Exile,20000,"RPG, Action",https://static-cdn.jtvnw.net/ttv-boxart/29307_IGDB-285x380.jpg
2025-02-24 12:00:26,Hearthstone,19700,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/138585-285x380.jpg
2025-02-24 12:00:26,One Piece: Bounty Rush,19600,No Tags,https://static-cdn.jtvnw.net/ttv-boxart/344321433_IGDB-285x380.jpg
