Timestamp,Category,Stream Title,Channel,Tags,Total Followers,Followers Goal,Subs Goal,Current Subscribers
2025-02-23 19:30:33,World of Warcraft,<GO AGAIN> Últimos 8 niveles ¡TEMPLO SUMERGIDO! | WoW Classic Hardcore, + 3 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 19:31:35,World of Warcraft,<GO AGAIN> Últimos 8 niveles ¡TEMPLO SUMERGIDO! | WoW Classic Hardcore, + 3 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 21:36:16,World of Warcraft,<GO AGAIN> Últimos 8 niveles ¡TEMPLO SUMERGIDO! | WoW Classic Hardcore, + 3 ,No Tags,Unknown,No Goal,No Goal,Unknown
2025-02-23 21:37:04,World of Warcraft,<GO AGAIN> Últimos 8 niveles ¡TEMPLO SUMERGIDO! | WoW Classic Hardcore, + 3 ,No Tags,Unknown,No Goal,No Goal,Unknown
